"word","valence","valence_mean_sd","dominance","dominance_mean_sd","arousal","arousal_mean_sd","frequency"
"abuse","1.7999999523","1.2300000190735","6.8299999237","2.700000047683716","3.6900000572","2.9400000572205","18"
"accident","2.0499999523","1.1900000572205","6.2600002289","2.869999885559082","3.7599999905","2.2200000286102","33"
"achievement","7.8899998665","1.3799999952316","5.5300002098","2.809999942779541","6.5599999428","2.3499999046326","65"
"activate","5.4600000381","0.9800000190735","4.8600001335","2.559999942779541","5.4299998283","1.8400000333786","2"
"admired","7.7399997711","1.8400000333786","6.1100001335","2.359999895095825","7.5300002098","1.9400000572205","17"
"adorable","7.8099999428","1.2400000095367","5.1199998856","2.710000038146973","5.7399997711","2.4800000190735","3"
"affection","8.3900003433","0.8600000143051","6.2100000381","2.75","6.0799999237","2.2200000286102","18"
"afraid","2","1.2799999713898","6.6700000763","2.539999961853027","3.9800000191","2.6300001144409","57"
"aggressive","5.0999999046","1.6799999475479","5.8299999237","2.329999923706055","5.5900001526","2.4000000953674","17"
"agony","2.4300000668","2.1700000762939","6.0599999428","2.670000076293945","4.0199999809","2.4900000095367","9"
"alert","6.1999998093","1.7599999904633","6.8499999046","2.529999971389771","5.9600000381","2.2400000095367","33"
"alone","2.4100000858","1.7699999809265","4.8299999237","2.660000085830688","3.7000000477","2.4200000762939","195"
"aloof","4.9000000954","1.9199999570847","4.2800002098","2.099999904632568","4.6900000572","1.9199999570847","5"
"ambition","7.0399999619","1.9800000190735","5.6100001335","2.920000076293945","6.9299998283","2.0699999332428","19"
"ambulance","2.4700000286","1.5","7.3299999237","1.960000038146973","3.2200000286","2.289999961853","6"
"angel","7.5300002098","1.5800000429153","4.8299999237","2.630000114440918","4.9699997902","2.3399999141693","18"
"anger","2.3399999142","1.3200000524521","7.6300001144","1.909999966621399","5.5","2.8199999332428","48"
"angry","2.8499999046","1.7000000476837","7.1700000763","2.069999933242798","5.5500001907","2.7400000095367","45"
"anguished","2.1199998856","1.5599999427795","5.3299999237","2.690000057220459","3.4500000477","2.3699998855591","2"
"annoy","2.7400000095","1.8099999427795","6.4899997711","2.170000076293945","5.0900001526","2.039999961853","2"
"anxious","4.8099999428","1.9800000190735","6.9200000763","1.809999942779541","5.3299999237","1.8200000524521","29"
"agility","6.4600000381","1.5700000524521","4.8499999046","1.799999952316284","5.8699998856","1.5199999809265","3"
"army","4.7199997902","1.75","5.0300002098","2.029999971389771","5.0300002098","2.4500000476837","132"
"aroused","7.9699997902","1","6.6300001144","2.700000047683716","6.1399998665","1.9700000286102","20"
"arrogant","3.6900000572","2.4000000953674","5.6500000954","2.230000019073486","5.1399998665","2.710000038147","2"
"assassin","3.0899999142","2.0899999141693","6.2800002098","2.529999971389771","4.3299999237","2.6800000667572","6"
"assault","2.0299999714","1.5499999523163","7.5100002289","2.279999971389771","3.9400000572","3.0999999046326","15"
"astonished","6.5599999428","1.6100000143051","6.5799999237","2.220000028610229","5.1599998474","1.789999961853","6"
"autumn","6.3000001907","2.1400001049042","4.5100002289","2.5","5.1500000954","1.8500000238419","22"
"awed","6.6999998093","1.3799999952316","5.7399997711","2.309999942779541","5.3000001907","2.0299999713898","5"
"baby","8.220000267","1.2000000476837","5.5300002098","2.799999952316284","5","2.7999999523163","62"
"bankrupt","2","1.3099999427795","6.2100000381","2.789999961853027","3.2699999809","2.3900001049042","5"
"bastard","3.3599998951","2.1600000858307","6.0700001717","2.150000095367432","4.1700000763","2.4000000953674","12"
"beach","8.029999733","1.5900000333786","5.5300002098","3.069999933242798","5.4400000572","2.5199999809265","61"
"beauty","7.8200001717","1.1599999666214","4.9499998093","2.569999933242798","5.5300002098","2.0999999046326","71"
"beggar","3.2200000286","2.0199999809265","4.9099998474","2.450000047683716","4.0900001526","2.3800001144409","2"
